,0.01,0.001,1e-05,1e-07,1e-09,1e-15
-0.4,0.999911,0.999911,0.999911,0.999911,0.999911,0.999911
-0.3,0.999776,0.999776,0.999776,0.999776,0.999776,0.999776
-0.2,0.999438,0.999438,0.999438,0.999438,0.999438,0.999438
-0.1,0.9986,0.9986,0.9986,0.9986,0.9986,0.9986
0.0,0.99654,0.99654,0.99654,0.99654,0.99654,0.99654
0.1,0.991535,0.991535,0.991535,0.991535,0.991535,0.991535
0.2,0.979544,0.979544,0.979544,0.979544,0.979544,0.979544
0.3,0.951337,0.951337,0.951337,0.951337,0.951337,0.951337
0.4,0.886535,0.886535,0.886535,0.886535,0.886535,0.886164
0.5,0.742339,0.742339,0.565903,0.565903,0.565903,0.565903
0.6,0.737173,0.565903,0.565903,0.565903,0.565903,0.565903
0.7,0.998644,0.998644,0.998644,0.998644,0.998644,0.998644
0.8,1.0,1.0,1.0,1.0,1.0,1.0
0.9,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
