,Zadanie 1,Zadanie 2
2,8.0000e+00,1.0000e+00
3,2.1600e+02,1.4444e+00
4,2.8800e+03,1.8333e+00
5,2.8000e+04,2.2333e+00
6,2.2680e+05,2.6444e+00
7,1.6299e+06,3.0317e+00
8,1.2862e+07,3.4484e+00
9,1.1200e+08,3.8492e+00
10,8.8420e+08,4.2492e+00
11,6.4926e+09,4.6594e+00
12,4.7683e+10,5.0552e+00
13,1.2125e+12,5.4655e+00
14,1.5227e+11,5.8689e+00
15,9.1102e+10,6.2689e+00
16,2.8441e+11,6.6784e+00
17,1.2449e+12,7.0776e+00
18,4.3153e+11,7.4850e+00
19,3.8357e+11,7.8896e+00
20,4.3982e+11,8.2896e+00
30,1.2472e+12,1.2332e+01
50,1.4475e+13,2.0421e+01
100,1.2819e+14,4.0639e+01
150,9.3439e+15,6.0856e+01
200,3.2372e+16,8.1073e+01
300,2.3017e+17,1.2151e+02
400,3.7425e+17,1.6194e+02
500,8.9385e+18,2.0238e+02
