,Gauss-error,Gauss-time,Thomas-error,Thomas-time
2,0.0000e+00,1.0700e-05,1.2587e-01,8.6000e-06
3,1.1102e-16,1.2500e-05,1.2889e-01,8.9000e-06
4,1.1102e-16,1.9000e-05,1.2895e-01,1.0300e-05
5,1.1102e-16,3.0800e-05,1.2895e-01,1.2700e-05
6,1.1102e-16,4.5700e-05,1.2895e-01,1.4400e-05
7,1.1102e-16,6.6600e-05,1.2895e-01,1.5000e-05
8,1.1102e-16,8.7400e-05,1.2895e-01,1.7400e-05
9,1.1102e-16,1.1860e-04,1.2895e-01,1.8600e-05
10,1.1102e-16,1.5720e-04,1.2895e-01,2.0500e-05
11,1.1102e-16,2.0240e-04,1.2895e-01,2.2200e-05
12,2.2204e-16,2.5580e-04,1.2895e-01,2.3800e-05
13,2.2204e-16,3.1890e-04,1.2895e-01,2.5900e-05
14,2.2204e-16,3.9980e-04,1.2895e-01,2.7400e-05
15,2.2204e-16,4.8040e-04,1.2895e-01,2.9500e-05
16,2.2204e-16,5.7330e-04,1.2895e-01,3.1100e-05
17,2.2204e-16,6.7970e-04,1.2895e-01,3.3100e-05
18,2.2204e-16,8.1960e-04,1.2895e-01,3.4600e-05
19,2.2204e-16,9.2970e-04,1.2895e-01,3.6800e-05
20,2.2204e-16,1.0812e-03,1.2895e-01,3.8200e-05
30,2.2204e-16,3.4494e-03,1.2895e-01,5.6200e-05
50,2.2204e-16,1.5527e-02,1.2895e-01,9.3900e-05
100,2.2204e-16,1.4594e-01,1.2895e-01,2.0000e-04
150,2.2204e-16,3.9482e-01,1.2895e-01,2.7420e-04
200,2.2204e-16,8.9708e-01,1.2895e-01,3.6760e-04
300,2.2204e-16,3.3837e+00,1.2895e-01,6.0570e-04
400,2.2204e-16,8.2750e+00,1.2895e-01,7.6680e-04
500,2.2204e-16,1.4620e+01,1.2895e-01,9.5880e-04
600,2.2204e-16,2.5990e+01,1.2895e-01,1.1642e-03
700,2.2204e-16,4.1595e+01,1.2895e-01,1.3424e-03
900,2.2204e-16,9.5773e+01,1.2895e-01,1.7494e-03
1000,2.2204e-16,2.5330e+02,1.2895e-01,2.1081e-03
