0.1,0.001,1e-07,1e-09
4.3600e-05,4.6000e-05,6.7800e-05,8.0100e-05
3.6500e-05,4.6000e-05,7.0700e-05,8.4000e-05
3.9400e-05,5.2000e-05,8.0200e-05,9.7700e-05
4.3900e-05,5.7900e-05,9.1300e-05,1.0780e-04
5.3000e-05,6.7400e-05,1.0780e-04,1.2710e-04
9.7000e-05,1.3550e-04,2.1640e-04,2.4620e-04
8.0700e-05,9.6800e-05,1.5480e-04,1.8790e-04
1.0460e-04,1.3650e-04,2.2310e-04,2.6990e-04
1.2450e-04,1.7540e-04,2.9670e-04,3.5280e-04
7.0680e-04,1.0546e-03,1.6757e-03,2.0894e-03
1.1271e-03,1.3088e-03,2.1623e-03,2.5212e-03
2.9847e-03,4.1677e-03,5.1718e-03,6.0823e-03
